Name,Rank,Price(USD)
Stacks,Rank #65,$1.90
UNUS SED LEO,Rank #56,$3.33
TerraUSD,Rank #59,$1.00
Holo,Rank #68,$0.01315
Amp,Rank #66,$0.05563
Flow,Rank #45,$13.76
THORChain,Rank #48,$16.02
BitTorrent,Rank #64,$0.003913
Helium,Rank #60,$27.03
Chiliz,Rank #63,$0.4397
Quant,Rank #53,$274.60
Enjin Coin,Rank #67,$2.79
Bitcoin SV,Rank #57,$166.16
Arweave,Rank #59,$84.10
Maker,Rank #51,"$3,460.35"
Waves,Rank #61,$25.68
eCash,Rank #52,$0.000178
Neo,Rank #55,$45.29
Dash,Rank #72,$196.01
Perpetual Protocol,Rank #98,$16.74
Bitcoin,Rank #1,"$62,595.85"
Mina,Rank #94,$4.40
Kusama,Rank #50,$430.02
IOTA,Rank #49,$1.35
Ravencoin,Rank #90,$0.1267
Secret,Rank #86,$9.10
TrueUSD,Rank #96,$1.00
OKB,Rank #87,$21.96
Bitcoin Gold,Rank #99,$64.58
Compound,Rank #70,$358.28
KuCoin Token,Rank #84,$18.58
The Sandbox,Rank #62,$3.00
XDC Network,Rank #97,$0.09401
Revain,Rank #88,$0.01545
Zcash,Rank #71,$162.76
Telcoin,Rank #100,$0.02029
SushiSwap,Rank #80,$12.12
Basic Attention Token,Rank #85,$0.9715
Harmony,Rank #54,$0.2974
PancakeSwap,Rank #44,$18.15
Qtum,Rank #81,$15.51
ICON,Rank #83,$2.23
Curve DAO Token,Rank #78,$4.28
Zilliqa,Rank #89,$0.108
Loopring,Rank #77,$1.34
Nexo,Rank #79,$3.12
Decred,Rank #82,$111.74
Theta Fuel,Rank #74,$0.3514
Monero,Rank #41,$266.92
Kadena,Rank #95,$7.84
Audius,Rank #91,$2.50
yearn.finance,Rank #93,"$34,060.00"
NEM,Rank #75,$0.2034
EOS,Rank #43,$4.59
Decentraland,Rank #40,$2.81
Ultra,Rank #199,$0.903
NEAR Protocol,Rank #37,$10.62
Klaytn,Rank #46,$1.69
OMG Network,Rank #73,$14.13
Tezos,Rank #39,$6.15
Crypto.com Coin,Rank #35,$0.2485
Hedera,Rank #36,$0.382
Huobi Token,Rank #77,$11.05
Elrond,Rank #38,$276.66
Dai,Rank #34,$1.00
Serum,Rank #101,$7.99
Augur,Rank #198,$24.68
ARPA Chain,Rank #192,$0.2495
Ergo,Rank #191,$9.15
Orbs,Rank #197,$0.1225
Ark,Rank #199,$1.93
Badger DAO,Rank #192,$28.13
Chromia,Rank #196,$0.6378
The Graph,Rank #42,$0.957
Stratis,Rank #195,$2.12
Venus,Rank #190,$26.12
Oasis Network,Rank #194,$0.1866
Energy Web Token,Rank #189,$9.93
Ampleforth,Rank #193,$1.78
MyNeighborAlice,Rank #183,$13.64
Prometeus,Rank #187,$18.72
StormX,Rank #182,$0.03149
Casper,Rank #178,$0.1282
Hive,Rank #184,$0.7966
Unibright,Rank #176,$2.19
SingularityNET,Rank #185,$0.3137
PAX Gold,Rank #180,"$1,779.14"
Ontology Gas,Rank #179,$1.21
Status,Rank #177,$0.09378
Ardor,Rank #175,$0.3333
aelf,Rank #182,$0.5842
Request,Rank #299,$0.2168
Aave,Rank #47,$315.54
Verasity,Rank #174,$0.07455
Metal,Rank #296,$3.30
Toko Token,Rank #295,$2.05
CRYPTO20,Rank #295,$5.59
Centrifuge,Rank #292,$1.87
Syntropy,Rank #297,$0.4548
Phala Network,Rank #293,$0.8323
Alien Worlds,Rank #291,$0.2504
Hoge Finance,Rank #290,$0.0005703
TomoChain,Rank #290,$2.68
KardiaChain,Rank #299,$0.07364
Chia Network,Rank #287,$150.83
Dawn Protocol,Rank #281,$3.44
Proton,Rank #284,$0.02859
Steem,Rank #288,$0.605
HUSD,Rank #280,$1.00
Samoyedcoin,Rank #282,$0.09031
Polkastarter,Rank #285,$2.94
MaidSafeCoin,Rank #278,$0.5519
Ellipsis,Rank #279,$0.5546
Civic,Rank #186,$0.4672
Orion Protocol,Rank #277,$8.03
TitanSwap,Rank #276,$4.78
Venus BTC,Rank #275,"$1,263.15"
Hifi Finance,Rank #400,$0.01279
IRISnet,Rank #396,$0.1143
Solanium,Rank #397,$2.48
Gitcoin,Rank #396,$9.19
ApeSwap Finance,Rank #392,$1.84
ankrETH,Rank #395,"$4,476.59"
BarnBridge,Rank #391,$28.13
Tranchess,Rank #392,$3.32
Enzyme,Rank #286,$132.87
Newscrypto,Rank #400,$0.8533
BSCPAD,Rank #387,$1.90
Bella Protocol,Rank #389,$2.83
Smooth Love Potion,Rank #379,$0.06668
Komodo,Rank #388,$1.05
Hxro,Rank #386,$0.4626
Terra Virtua Kolect,Rank #385,$0.2473
bZx Protocol,Rank #376,$0.4262
Oxygen,Rank #380,$2.28
sUSD,Rank #379,$1.00
TROY,Rank #390,$0.01515
Karura,Rank #384,$7.65
QuickSwap,Rank #382,$435.40
MCO,Rank #376,$9.17
Tiger King,Rank #378,$0.0002402
Gemini Dollar,Rank #383,$0.9964
Klever,Rank #373,$0.04282
Seedify.fund,Rank #368,$7.55
DFI.Money,Rank #373,"$3,766.53"
Gods Unchained,Rank #370,$6.28
Litentry,Rank #377,$5.29
MANTRA DAO,Rank #496,$0.236
STARSHIP,Rank #498,$4.42
LTO Network,Rank #503,$0.2781
USDX [Kava],Rank #371,$0.9882
MXC,Rank #372,$0.05533
SpiritSwap,Rank #507,$0.3143
EFFORCE,Rank #498,$0.5329
Flamingo,Rank #495,$0.5584
Bluzelle,Rank #486,$0.2811
Bytom,Rank #497,$0.05172
MCDEX Token,Rank #485,$46.76
Impossible Decentralized Incubator Access,Rank #490,$1.91
Presearch,Rank #488,$0.2181
Energi,Rank #494,$1.83
Tokenlon Network Token,Rank #490,$2.11
Sologenic,Rank #481,$0.4382
BNBPay,Rank #487,$0.0141
Refereum,Rank #493,$0.01717
Alpha Quark Token,Rank #477,$4.28
Belt Finance,Rank #600,$6.77
OpenOcean,Rank #479,$0.5859
Aion,Rank #475,$0.1789
Galaxy Heroes Coin,Rank #472,
Beefy Finance,Rank #470,"$1,275.15"
Kryll,Rank #473,$2.37
Kleros,Rank #485,$0.1404
BEPRO Network,Rank #487,$0.01275
Elastos,Rank #479,$4.45
ForTube,Rank #599,$0.0846
CUDOS,Rank #471,$0.04504
HUNT,Rank #479,$0.7966
Vega Protocol,Rank #595,$16.37
Chain Guardians,Rank #591,$1.59
CoinEx Token,Rank #592,$0.07838
Safe,Rank #470,$4.40
Wrapped NXM,Rank #483,$52.01
Hydra,Rank #593,$14.33
v.systems,Rank #598,$0.02267
Civilization,Rank #583,$0.1933
Phoenix Global,Rank #482,$0.02358
CVCoin,Rank #595,$4.45
Crust Network,Rank #593,$27.24
Lotto,Rank #590,$0.02812
Pendle,Rank #590,$0.7672
Unisocks,Rank #700,
Covalent,Rank #581,$1.17
LATOKEN,Rank #581,$0.1535
Unifi Protocol DAO,Rank #585,$12.31
Auto,Rank #579,"$1,115.14"
CumRocket,Rank #577,$0.04512
Selfkey,Rank #579,$0.0119
Soda Coin,Rank #699,$0.02129
unFederalReserve,Rank #581,$0.1536
Lamden,Rank #476,$0.6231
Cream Finance,Rank #577,$96.71
NULS,Rank #591,$0.5593
CoinLoan,Rank #682,$20.41
Gifto,Rank #689,$0.05036
Freeway Token,Rank #691,$0.009633
BENQI,Rank #686,$0.1198
Ferrum Network,Rank #687,$0.2535
YF Link,Rank #691,$752.32
Shapeshift FOX Token,Rank #680,$0.4668
Aragon Court,Rank #685,$0.3046
MILC Platform,Rank #697,$0.4797
Unifty,Rank #693,$32.24
KARMA,Rank #683,$0.007236
Niftyx Protocol,Rank #698,$0.7369
Convergence,Rank #695,$0.03735
Router Protocol,Rank #795,$3.53
Dragonchain,Rank #596,$0.1487
ASTA,Rank #695,$0.02127
VIMworld,Rank #685,$0.007051
GET Protocol,Rank #677,$3.54
Nebulas,Rank #797,$0.4315
Gas,Rank #476,$8.77
TerraKRW,Rank #681,$0.000924
Galatasaray Fan Token,Rank #800,$7.31
TE-FOOD,Rank #690,$0.06816
Smartlands Network,Rank #676,$7.94
Solrise Finance,Rank #791,$0.5503
AntiMatter,Rank #794,$0.8417
Linear,Rank #301,$0.0536
